ccode,country.name,year,value
4,Afghanistan,2008,869
8,Albania,2008,5010.0318
12,Algeria,2008,3447.4191
24,Angola,2008,1599.101
32,Argentina,2008,9971.9237
51,Armenia,2008,11647.3376
36,Australia,2008,25218.3019
40,Austria,2008,24565.4845
31,Azerbaijan,2008,7870.7885
48,Bahrain,2008,4860.098
50,Bangladesh,2008,1174.222
112,Belarus,2008,12638.3344
56,Belgium,2008,23701.2961
204,Benin,2008,1393.8394
68,Bolivia,2008,2949.9087
70,Bosnia and Herzegovina,2008,5348.5392
72,Botswana,2008,4768.8377
76,Brazil,2008,6542.0118
100,Bulgaria,2008,9278.9315
854,Burkina Faso,2008,1182.0915
108,Burundi,2008,479.1161
116,Cambodia,2008,2392.2215
120,Cameroon,2008,1173.8945
124,Canada,2008,25262.0711
132,Cape Verde,2008,2735.3758
140,Central African Republic,2008,535.7388
148,Chad,2008,705.7425
152,Chile,2008,13479.0848
156,China,2008,6724.7797
170,Colombia,2008,6839.7109
174,Comoros,2008,549.3492
178,Congo,2008,2159.0214
180,"Congo, DRC",2008,248.9722
188,Costa Rica,2008,7990.3612
384,Cote d'Ivoire,2008,1173.7884
191,Croatia,2008,10724.5559
192,Cuba,2008,3763.6555
203,Czech Republic,2008,13350.3123
208,Denmark,2008,24788.6
262,Djibouti,2008,1254.3928
214,Dominican Republic,2008,4959.5724
218,Ecuador,2008,5004.9601
818,Egypt,2008,4037.7076
222,El Salvador,2008,2940
226,Equatorial Guinea,2008,22048.5061
233,Estonia,2008,21432.2007
246,Finland,2008,24694.0579
250,France,2008,22057.3505
266,Gabon,2008,3811.3326
268,Georgia,2008,5996.858
276,Germany,2008,20801.4374
288,Ghana,2008,1788.6744
300,Greece,2008,15777.51
320,Guatemala,2008,4491.1177
324,Guinea,2008,627.6444
624,Guinea-Bissau,2008,616.6918
332,Haiti,2008,686
340,Honduras,2008,2323
348,Hungary,2008,8825.7648
356,India,2008,2951.6125
364,Iran,2008,6013.0019
368,Iraq,2008,1597.5017
372,Ireland,2008,24324.286
376,Israel,2008,18748.9539
380,Italy,2008,19460.4958
388,Jamaica,2008,3833.369
392,Japan,2008,22175.1245
400,Jordan,2008,5466.8992
398,Kazakhstan,2008,10638.7991
404,Kenya,2008,1112.5768
414,Kuwait,2008,13657.7703
417,Kyrgyzstan,2008,2965.256
418,Laos,2008,1669.1791
428,Latvia,2008,14332.6371
422,Lebanon,2008,4452.7348
426,Lesotho,2008,1951.9026
430,Liberia,2008,801.5985
434,Libya,2008,2993.5634
440,Lithuania,2008,12666.7349
807,Macedonia,2008,6055.1422
450,Madagascar,2008,741.5173
454,Malawi,2008,662.2469
458,Malaysia,2008,9880.324
466,Mali,2008,1017.9077
478,Mauritania,2008,1299.2102
480,Mauritius,2008,14529.2417
484,Mexico,2008,7977.5065
496,Mongolia,2008,1001.308
499,Montenegro,2008,7408.1907
504,Morocco,2008,3782.2562
508,Mozambique,2008,2399.4866
104,Myanmar,2008,3106.5547
516,Namibia,2008,4570.8535
524,Nepal,2008,1133.8811
528,Netherlands,2008,25112.3115
554,New Zealand,2008,18875.3621
558,Nicaragua,2008,1674
562,Niger,2008,520.7163
566,Nigeria,2008,1710.9757
408,North Korea,2008,1121.6313
578,Norway,2008,28464.308
512,Oman,2008,9362.3468
586,Pakistan,2008,2457.3236
591,Panama,2008,6675
600,Paraguay,2008,3295
604,Peru,2008,5375.5917
608,Philippines,2008,2888.3337
616,Poland,2008,10185.6034
620,Portugal,2008,14583.489
634,Qatar,2008,11346.9971
642,Romania,2008,5040.3254
643,Russia,2008,9038.4855
646,Rwanda,2008,1020.0212
678,Sao Tome and Principe,2008,1484.1545
682,Saudi Arabia,2008,10011.9467
686,Senegal,2008,1493.6674
688,Serbia,2008,7421.082
690,Seychelles,2008,6108.8977
694,Sierra Leone,2008,686.4424
702,Singapore,2008,26638.2151
703,Slovakia,2008,13037.0861
705,Slovenia,2008,18745.0743
706,Somalia,2008,978.0653
710,South Africa,2008,5048.0867
410,South Korea,2008,20453.7802
724,Spain,2008,17734.0292
144,Sri Lanka,2008,4882.2248
748,Swaziland,2008,3150.209
752,Sweden,2008,25181.2039
756,Switzerland,2008,25293.204
760,Syria,2008,7555.6249
762,Tajikistan,2008,1555.8246
834,Tanzania,2008,747.477
764,Thailand,2008,8922.8904
270,The Gambia,2008,1042.9487
768,Togo,2008,605.5979
780,Trinidad and Tobago,2008,21314.3786
788,Tunisia,2008,6116.9717
792,Turkey,2008,8126.938
795,Turkmenistan,2008,3913.184
800,Uganda,2008,1086.71
804,Ukraine,2008,5027.6178
784,United Arab Emirates,2008,15346.4989
826,United Kingdom,2008,24602.1336
840,United States,2008,31251.2665
858,Uruguay,2008,10405.4418
860,Uzbekistan,2008,5236.5233
862,Venezuela,2008,10672.1083
704,Vietnam,2008,2925.9473
894,Zambia,2008,734.2203
716,Zimbabwe,2008,660.7354
8,Albania,2009,5178.8669
12,Algeria,2009,3466.5426
24,Angola,2009,1591.8654
32,Argentina,2009,9580.6948
51,Armenia,2009,10004.5972
36,Australia,2009,25255.6388
40,Austria,2009,23622.5817
31,Azerbaijan,2009,8509.4961
48,Bahrain,2009,4852.5794
50,Bangladesh,2009,1223.7774
112,Belarus,2009,12678.3106
56,Belgium,2009,23020.272
68,Bolivia,2009,2994.6692
70,Bosnia and Herzegovina,2009,5193.6115
76,Brazil,2009,6456.9639
100,Bulgaria,2009,8841.3755
854,Burkina Faso,2009,1179.885
116,Cambodia,2009,2352.2919
120,Cameroon,2009,1170.982
124,Canada,2009,24361.0214
152,Chile,2009,13210.0858
156,China,2009,7308.2031
170,Colombia,2009,6853.8228
180,"Congo, DRC",2009,249.1462
188,Costa Rica,2009,7777.7865
384,Cote d'Ivoire,2009,1191.9647
191,Croatia,2009,9984.2341
203,Czech Republic,2009,12734.7134
208,Denmark,2009,23275.489
214,Dominican Republic,2009,5060.6712
218,Ecuador,2009,4947.7139
818,Egypt,2009,4140.6795
233,Estonia,2009,18493.0697
246,Finland,2009,22561.7396
250,France,2009,21244.2073
268,Georgia,2009,5789.4844
276,Germany,2009,19789.8454
288,Ghana,2009,1819.9604
300,Greece,2009,15243.9848
320,Guatemala,2009,4422.3954
348,Hungary,2009,8236.6753
356,India,2009,3154.1237
364,Iran,2009,6172.9685
368,Iraq,2009,1602.6092
372,Ireland,2009,22315.238
376,Israel,2009,18588.7623
380,Italy,2009,18278.6256
388,Jamaica,2009,3691.41
392,Japan,2009,20963.2003
400,Jordan,2009,5640.7492
398,Kazakhstan,2009,10630.0715
404,Kenya,2009,1109.4166
414,Kuwait,2009,12306.7099
417,Kyrgyzstan,2009,3016.971
428,Latvia,2009,11865.0997
440,Lithuania,2009,10817.6126
807,Macedonia,2009,5983.7468
450,Madagascar,2009,691.5544
454,Malawi,2009,702.6232
458,Malaysia,2009,9571.1499
466,Mali,2009,1031.3166
484,Mexico,2009,7391.7591
499,Montenegro,2009,7214.1654
504,Morocco,2009,3925.6879
508,Mozambique,2009,2495.3165
104,Myanmar,2009,3396.9572
528,Netherlands,2009,24073.4155
554,New Zealand,2009,18843.1138
562,Niger,2009,498.1525
566,Nigeria,2009,1783.1058
578,Norway,2009,27893.1991
512,Oman,2009,9541.808
586,Pakistan,2009,2458.569
604,Peru,2009,5364.6249
608,Philippines,2009,2864.4015
616,Poland,2009,10356.1754
620,Portugal,2009,14118.3442
634,Qatar,2009,11484.2156
642,Romania,2009,4719.354
643,Russia,2009,8328.2127
682,Saudi Arabia,2009,9858.6818
686,Senegal,2009,1485.13
688,Serbia,2009,7226.719
702,Singapore,2009,25825.7372
703,Slovakia,2009,12376.8188
705,Slovenia,2009,17292.7405
710,South Africa,2009,4943.1501
410,South Korea,2009,20464.318
724,Spain,2009,16928.0226
144,Sri Lanka,2009,5011.0145
752,Sweden,2009,23877.5151
756,Switzerland,2009,24538.1947
760,Syria,2009,7841.2512
762,Tajikistan,2009,1588.1464
834,Tanzania,2009,771.759
764,Thailand,2009,8768.262
788,Tunisia,2009,6243.828
792,Turkey,2009,7632.8604
795,Turkmenistan,2009,4104.2571
800,Uganda,2009,1127.3339
804,Ukraine,2009,4313.1759
784,United Arab Emirates,2009,14070.6847
826,United Kingdom,2009,23489.355
840,United States,2009,29898.6442
858,Uruguay,2009,10650.095
860,Uzbekistan,2009,5607.1668
862,Venezuela,2009,10176.2483
704,Vietnam,2009,3046.2685
894,Zambia,2009,760.2575
716,Zimbabwe,2009,699.5602
8,Albania,2010,5374.9908
12,Algeria,2010,3512.5807
24,Angola,2010,1600.0062
32,Argentina,2010,10256.2751
51,Armenia,2010,10215.0195
36,Australia,2010,25584.4884
40,Austria,2010,24095.6762
31,Azerbaijan,2010,8840.5934
48,Bahrain,2010,4929.1922
50,Bangladesh,2010,1276.2308
112,Belarus,2010,13658.5546
56,Belgium,2010,23556.8231
68,Bolivia,2010,3064.28
70,Bosnia and Herzegovina,2010,5233.0281
76,Brazil,2010,6879.0549
100,Bulgaria,2010,8945.5097
854,Burkina Faso,2010,1234.0903
116,Cambodia,2010,2449.8889
120,Cameroon,2010,1179.3367
124,Canada,2010,24941.2356
152,Chile,2010,13883.1846
156,China,2010,8031.9447
170,Colombia,2010,7062.5047
180,"Congo, DRC",2010,260.0031
188,Costa Rica,2010,7996.778
384,Cote d'Ivoire,2010,1194.9038
191,Croatia,2010,9849.4935
203,Czech Republic,2010,13096.5858
208,Denmark,2010,23512.6315
214,Dominican Republic,2010,5379.0874
218,Ecuador,2010,5049.5544
818,Egypt,2010,4266.9581
233,Estonia,2010,19031.6612
246,Finland,2010,23290.4833
250,France,2010,21477.4774
268,Georgia,2010,6171.4843
276,Germany,2010,20661.4454
288,Ghana,2010,1922.3911
300,Greece,2010,14690.7332
320,Guatemala,2010,4453.5839
348,Hungary,2010,8352.6832
356,India,2010,3371.601
364,Iran,2010,6455.8662
368,Iraq,2010,1609.748
372,Ireland,2010,22013.1389
376,Israel,2010,19170.7835
380,Italy,2010,18520.4251
388,Jamaica,2010,3617.0317
392,Japan,2010,21934.9034
400,Jordan,2010,5646.6721
398,Kazakhstan,2010,11258.1654
404,Kenya,2010,1140.748
414,Kuwait,2010,12348.2387
417,Kyrgyzstan,2010,2947.242
428,Latvia,2010,11897.5595
440,Lithuania,2010,11003.9291
807,Macedonia,2010,6141.0026
450,Madagascar,2010,675.6577
454,Malawi,2010,728.2377
458,Malaysia,2010,10094.4888
466,Mali,2010,1058.5092
484,Mexico,2010,7715.665
499,Montenegro,2010,7324.4127
504,Morocco,2010,4026.8878
508,Mozambique,2010,2613.0267
104,Myanmar,2010,3708.9392
528,Netherlands,2010,24302.618
554,New Zealand,2010,18886.1612
562,Niger,2010,519.4618
566,Nigeria,2010,1876.1073
578,Norway,2010,27987.2014
